id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_2049,"Acne Prone Skin Pack","For those with oily and pimple prone skin. This regimen will decrease formation of comedones (black heads and white heads) and heal existing acne and pimples. 
 
This Pack includes 
 
YoungGCT Soap 
Pimple Free Cream-Gel 
Exfoliating Cream 
Bleaching Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Acne-Prone-Skin-Pack.jpg,https://edgg7es7-staging.dreamwp.com/product/acne-prone-skin-pack/,"Skin Care","SkinRx",3600PHP,in stock,wc_post_id_2049,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2049,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3600PHP,new,published,,
wc_post_id_2047,"Sensitive Touch Skin","Specially made for those who have allergies to skin care products but want to maintain a facial regimen to look younger and more beautiful 
 
Rashless Essentials includes : 
 
  Ultra Hydrating Soap 
  Ultra Hydrating Cream 
  Collagen E Cream 
  Rejuvenating Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/sensitive-skin-pack.jpg,https://edgg7es7-staging.dreamwp.com/product/sensitive-touch-skin/,"Skin Care","SkinRx",2450PHP,in stock,wc_post_id_2047,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2047,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2450PHP,new,published,,
wc_post_id_2045,"Age Defying Pack","Best for those above 40 years old. This will decrease and prevent fine lines and conspicuous wrinkling of the facial skin 
 
Youth Regen Essentials Includes:                                              
 
  Youngevity Soap 
  CC 12 in 1 Cream 
  Collagen E Cream 
  Rejuvenating Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/age-defying-pack.jpg,https://edgg7es7-staging.dreamwp.com/product/age-defying-pack/,"Uncategorized","SkinRx",2450PHP,in stock,wc_post_id_2045,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2045,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2450PHP,new,published,,
wc_post_id_2043,"Lightening Pack","Intended for those who want to have a bright complexion or white glowing skin 
 
Youth Glow Essentials                                                  
 
  Brightening Soap 
  CC 12 in 1 cream 
  Collagen E Cream  
  Ultra Lightening Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Lightening-Pack.jpg,https://edgg7es7-staging.dreamwp.com/product/lightening-pack/,"Skin Care","SkinRx",2450PHP,in stock,wc_post_id_2043,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2043,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2450PHP,new,published,,
wc_post_id_2036,"Pigment Erase Pack","For those with melasma, freckles, ephelides, dark spots and other pigmentations 
 
Spotless Essentials                                                  
 
  Brightening Soap 
  CC 12 in 1 Complete Correction Cream 
  Exfoliating Cream 
  Ultra Lightening Cream",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Pigment-erase-pack.jpg,https://edgg7es7-staging.dreamwp.com/product/pigment-erase-pack/,"Skin Care","SkinRx",2450PHP,in stock,wc_post_id_2036,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2036,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2450PHP,new,published,,
wc_post_id_2017,"Pleasant Cosmetics Lotion","Lotion: Replenishing",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Rejuvenating.png,https://edgg7es7-staging.dreamwp.com/product/pleasant-cosmetics-lotion/?attribute_pa_lotion=replenishing,"Cosmetics","SkinRx",750PHP,in stock,wc_post_id_2013,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2013&variation_id=2017&attribute_pa_lotion=replenishing,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,,"lotion:Brightening Lotion/Rejuvenating/Replenishing/Sun Protection/Ultra Moisturizing:Replenishing"
wc_post_id_2018,"Pleasant Cosmetics Lotion","Lotion: Sun Protection",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Rejuvenating.png,https://edgg7es7-staging.dreamwp.com/product/pleasant-cosmetics-lotion/?attribute_pa_lotion=protection,"Cosmetics","SkinRx",750PHP,in stock,wc_post_id_2013,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2013&variation_id=2018&attribute_pa_lotion=protection,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,,"lotion:Brightening Lotion/Rejuvenating/Replenishing/Sun Protection/Ultra Moisturizing:Sun Protection"
wc_post_id_2019,"Pleasant Cosmetics Lotion","Lotion: Ultra Moisturizing",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Rejuvenating.png,https://edgg7es7-staging.dreamwp.com/product/pleasant-cosmetics-lotion/?attribute_pa_lotion=moisturizing,"Cosmetics","SkinRx",750PHP,in stock,wc_post_id_2013,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2013&variation_id=2019&attribute_pa_lotion=moisturizing,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,,"lotion:Brightening Lotion/Rejuvenating/Replenishing/Sun Protection/Ultra Moisturizing:Ultra Moisturizing"
wc_post_id_2015,"Pleasant Cosmetics Lotion","Lotion: Brightening Lotion",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Rejuvenating.png,https://edgg7es7-staging.dreamwp.com/product/pleasant-cosmetics-lotion/?attribute_pa_lotion=brightening,"Cosmetics","SkinRx",750PHP,in stock,wc_post_id_2013,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2013&variation_id=2015&attribute_pa_lotion=brightening,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,default,"lotion:Brightening Lotion/Rejuvenating/Replenishing/Sun Protection/Ultra Moisturizing:Brightening Lotion"
wc_post_id_2016,"Pleasant Cosmetics Lotion","Lotion: Rejuvenating",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/Rejuvenating.png,https://edgg7es7-staging.dreamwp.com/product/pleasant-cosmetics-lotion/?attribute_pa_lotion=rejuvenating,"Cosmetics","SkinRx",750PHP,in stock,wc_post_id_2013,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2013&variation_id=2016&attribute_pa_lotion=rejuvenating,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,750PHP,new,published,,"lotion:Brightening Lotion/Rejuvenating/Replenishing/Sun Protection/Ultra Moisturizing:Rejuvenating"
wc_post_id_2008,"Skin 21 Complete me essentials","Product Includes 
 
Youngevity Face and Body Wash 120ml                                                 
 
CC 12 in 1 Complete Correction Cream 30g 
 
Glazy Gel Instant Skin Peel, White and Lift 15g",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/123.jpg.png,https://edgg7es7-staging.dreamwp.com/product/skin-21-complete-me-essentials/,"Uncategorized","SkinRx",1PHP,in stock,wc_post_id_2008,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2008,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_1642,"Youngevity Face and body Wash","yougevity Face and Body Wash",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/facialwash.jpg,https://edgg7es7-staging.dreamwp.com/product/brightening-facial-wash/,"Skin Care","SkinRx",550PHP,in stock,wc_post_id_1642,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=1642,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,550PHP,new,published,,
wc_post_id_1636,"Blush On","Blush on: Pink Rose",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/blushon-2.jpg,https://edgg7es7-staging.dreamwp.com/product/blush-on/?attribute_pa_blush=pinkrose,"Cosmetics","SkinRx",189.75PHP,in stock,wc_post_id_1631,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=1631&variation_id=1636&attribute_pa_blush=pinkrose,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,189.75PHP,new,published,,"blush:Auld Rose/Creamy Pink/Peach/Pink Rose:Pink Rose"
wc_post_id_1633,"Blush On","Blush on: Auld Rose",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/blushon-2.jpg,https://edgg7es7-staging.dreamwp.com/product/blush-on/?attribute_pa_blush=auld,"Cosmetics","SkinRx",189.75PHP,in stock,wc_post_id_1631,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=1631&variation_id=1633&attribute_pa_blush=auld,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,189.75PHP,new,published,,"blush:Auld Rose/Creamy Pink/Peach/Pink Rose:Auld Rose"
